game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc
822850,2026-09-05,2026-09-05T23:05:00Z,Tampa Bay Rays @ Texas Rangers,away,Drew Rasmussen,Texas Rangers,9,measured,574.0,0.3264329555385057,0.32541436324102896,-0.0010185922974767503,0.017286432326745777,0.26897176141868434,0.32541436324102896,0.31648295995589637,0.2769143619277962,-0.039568598028100144,0.2590123085987977,0.26632184395018427,-0.0501611160057121,0.23,0.23520451527224434,0.24306281010374378,0.22256402980582082,-0.02049878029792296,0.349,0.40225232403718464,0.39457455019295345,0.35579096781666825,-0.03878358237628521,34.5,41.77633466135458,39.03769624979639,36.9203022789607,-2.1173939708356926,88.3,89.57203187250995,88.86207568448091,89.00995618802904,0.147880503548123,12.4,14.716281540504651,14.015713927698764,13.100567612805888,-0.9151463148928762,26.0,22.706294820717133,22.071654011928032,26.747595129010236,4.675941117082203,4.7,9.235697211155378,8.918405753520775,4.867212604146646,-4.051193149374129,0.28496173016055676,5.606321088400512,5.735576923076923,0.616197501891001,0.383802498108999,0.2939207210544279,-0.022562238901468468,8.0,1377.7045296167248,3.9,4.012912483500138,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T23:05:00Z
822850,2026-09-05,2026-09-05T23:05:00Z,Tampa Bay Rays @ Texas Rangers,home,Jacob deGrom,Tampa Bay Rays,9,measured,561.0,0.33002688222500737,0.3311761518133208,0.0011492695883134063,0.025178050457446203,0.2874204406361407,0.3311761518133208,0.31648295995589637,0.3002914821171808,-0.01619147783871555,0.28721678668016587,0.3005512529400641,-0.015931707015832297,0.232,0.23668552456839312,0.24306281010374378,0.2259129715336959,-0.01714983857004787,0.386,0.38370942895086324,0.39457455019295345,0.37537099010213426,-0.019203560090819194,44.3,35.62950863213811,39.03769624979639,40.4323867449517,1.3946904951553094,90.4,88.65104913678618,88.86207568448091,90.18897345230528,1.326897767824363,16.7,15.74738379814077,14.015713927698764,18.431669870442008,4.415955942743244,29.8,18.004355909694553,22.071654011928032,24.30854551357794,2.2368915016499074,6.6,9.335245683930944,8.918405753520775,6.908479297392478,-2.009926456128297,0.28766667353003256,4.995168879967166,4.939102564102565,0.5473218298441681,0.4526781701558319,0.2999773997259941,-0.016505560229902294,8.0,1041.3933333333334,4.06046511627907,4.1887894778265835,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T23:05:00Z
823094,2026-09-05,2026-09-06T01:40:00Z,Athletics @ Seattle Mariners,away,Jeffrey Springs,Seattle Mariners,9,measured,548.0,0.3210629154805106,0.3175651731166328,-0.003497742363877787,0.020034009095318148,0.3421707253563403,0.3175651731166328,0.31648295995589637,0.3450799751797035,0.028597015223807143,0.3659695925857865,0.367221025236634,0.050738065280737654,0.254,0.24300132802124833,0.24306281010374378,0.253935751384808,0.010872941281064225,0.454,0.4177455511288181,0.39457455019295345,0.4806607018109462,0.08608615161799277,35.0,39.67463479415672,39.03769624979639,35.57105954485538,-3.46663670494101,87.6,89.64802124833997,88.86207568448091,88.38594556385905,-0.47613012062186044,17.2,15.621487383798142,14.015713927698764,18.80577345609938,4.790059528400617,17.9,23.268366533864544,22.071654011928032,18.870527815046714,-3.2011261968813187,9.1,10.423479415670652,8.918405753520775,10.63571957859811,1.7173138250773352,0.3178937514143228,4.571272724451786,4.386666666666667,0.504972421708298,0.49502757829170196,0.3224941230843592,0.0060111631284628375,9.0,1133.0363636363636,4.4,4.452178887252811,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-06T01:40:00Z
823094,2026-09-05,2026-09-06T01:40:00Z,Athletics @ Seattle Mariners,home,George Kirby,Athletics,9,measured,640.0,0.3139944737886547,0.312388630495162,-0.0016058432934926703,0.02262829555520149,0.32340354623093115,0.312388630495162,0.31648295995589637,0.31986179305049645,0.0033788330946000755,0.33336256215620225,0.3290498618467378,0.01256690189084142,0.258,0.23219601593625497,0.24306281010374378,0.24646539750768343,0.003402587403939644,0.401,0.3502804780876494,0.39457455019295345,0.3559846210163807,-0.03858992917657278,40.8,39.263266932270916,39.03769624979639,41.03575376441453,1.9980575146181394,89.5,88.40159362549801,88.86207568448091,89.0395179410171,0.17744225653618173,12.6,10.530066401062419,14.015713927698764,9.114352473363654,-4.90136145433511,20.0,23.772297476759626,22.071654011928032,21.54102040917507,-0.5306336027529639,5.6,7.830836653386453,8.918405753520775,4.917099139793246,-4.001306613727529,0.30904172515765277,5.356695538477033,5.410256410256411,0.5905150827718199,0.40948491722818015,0.3066117489647402,-0.009871210991156176,8.0,1296.0,4.186192468619247,4.268031384586431,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-06T01:40:00Z
823257,2026-09-05,2026-09-05T23:15:00Z,New York Yankees @ San Diego Padres,away,Carlos Rodón,San Diego Padres,9,measured,247.0,0.3163489192295528,0.32472076517908804,0.008371845949535217,0.02808516449684232,0.28452208171720783,0.32472076517908804,0.31648295995589637,0.2885184175439143,-0.027964542411982096,0.2869547435031402,0.294423952225086,-0.022059007730810376,0.225,0.24277689243027886,0.24306281010374378,0.2247353298248212,-0.018327480278922587,0.352,0.4079088977423639,0.39457455019295345,0.3638955729280998,-0.030678977264853635,37.1,44.26228419654714,39.03769624979639,42.06525746765766,3.027561217861269,89.8,90.44132802124834,88.86207568448091,91.37925233676742,2.5171766522865084,16.1,11.100292164674634,14.015713927698764,13.184578236975872,-0.831135690722892,25.5,24.790225763612217,22.071654011928032,28.640842078735133,6.569188066807101,12.6,8.066693227091633,8.918405753520775,11.396693251058844,2.4782874975380693,0.28163919207504245,4.826087534575646,4.71875,0.5423500611670468,0.45764993883295324,0.28151990880659156,-0.034963051149304814,7.0,1299.846590909091,4.171875,4.07039785220883,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T23:15:00Z
823257,2026-09-05,2026-09-05T23:15:00Z,New York Yankees @ San Diego Padres,home,Robbie Ray,New York Yankees,9,measured,622.0,0.3228743625453325,0.3223845883089448,-0.0004897742363877411,0.024055605844568874,0.2980569988832905,0.3223845883089448,0.31648295995589637,0.3037860292088196,-0.012696930747076784,0.31003642104652307,0.3158178373135499,-0.0006651226423464718,0.239,0.25555272244355914,0.24306281010374378,0.2512811426723067,0.008218332568562942,0.419,0.42692642762284194,0.39457455019295345,0.4533545640145682,0.05878001382161474,37.7,42.49187250996016,39.03769624979639,41.03581275326547,1.9981165034690775,89.2,89.71973439575034,88.86207568448091,90.05765871126943,1.195583026788512,18.8,12.56223107569721,14.015713927698764,17.346517147998448,3.330803220299684,20.3,23.482390438247013,22.071654011928032,21.597499020182116,-0.474154991745916,11.7,7.735484727755644,8.918405753520775,10.148133401422303,1.2297276479015284,0.2797118796701145,5.309967603023376,5.3493589743589745,0.6049594942084721,0.39504050579152794,0.28536068689900534,-0.031122273056891026,8.0,1636.5203389830508,4.395348837209303,4.130193250127852,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T23:15:00Z
823335,2026-09-05,2026-09-05T22:40:00Z,Los Angeles Angels @ Pittsburgh Pirates,away,Yusei Kikuchi,Pittsburgh Pirates,9,measured,192.0,0.33174218446787884,0.3367764474160861,0.0050342629482072465,0.018923809822524878,0.3301072825982326,0.3367764474160861,0.31648295995589637,0.34909747072398756,0.03261451076809119,0.34509690409448507,0.36722517190633713,0.05074221195044076,0.268,0.24016281540504655,0.24306281010374378,0.26480247842555954,0.021739668321815758,0.464,0.4028770252324037,0.39457455019295345,0.4737632967367537,0.07918874654380026,45.8,40.399628154050475,39.03769624979639,47.397852517108056,8.360156267311666,91.2,89.03726427622843,88.86207568448091,91.3751885917475,2.5131129072665885,14.0,9.296547144754316,14.015713927698764,9.28083321705555,-4.734880710643214,22.4,25.25128818061089,22.071654011928032,25.62693556812756,3.555281556199528,8.3,9.954183266932272,8.918405753520775,9.26395629430984,0.3455505407890662,0.31102971542798913,4.977953324800028,4.916666666666666,0.5599982833043595,0.4400017166956405,0.32602601177922114,0.009543051823324766,9.0,831.0,4.408163265306122,4.286758921318282,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T22:40:00Z
823335,2026-09-05,2026-09-05T22:40:00Z,Los Angeles Angels @ Pittsburgh Pirates,home,Braxton Ashcraft,Los Angeles Angels,9,measured,645.0,0.30711892998041945,0.30469502559794936,-0.002423904382470088,0.023094799670674477,0.2918154035422092,0.30469502559794936,0.31648295995589637,0.2816959508359068,-0.034787009119989554,0.29268898791354314,0.2817872996289682,-0.03469566032692817,0.232,0.22816626826029218,0.24306281010374378,0.21778146238741466,-0.025281347716329117,0.368,0.3838241699867198,0.39457455019295345,0.35797365665383296,-0.036600893539120494,41.7,39.178087649402386,39.03769624979639,41.84996585162478,2.8122696018283904,89.7,88.64369189907039,88.86207568448091,89.48161621458948,0.6195405301085657,10.8,14.722204515272244,14.015713927698764,11.506490587573479,-2.509223340125285,25.4,26.40496679946879,22.071654011928032,30.386764686690583,8.31511067476255,5.4,8.613386454183267,8.918405753520775,5.215314052539906,-3.7030917009808686,0.29009999015847,6.079202329935907,6.351851851851852,0.6625781657700713,0.33742183422992866,0.28151657383770495,-0.03496638611819142,7.0,1203.3591954022988,4.034274193548387,4.276087645715405,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T22:40:00Z
823419,2026-09-05,2026-09-05T22:05:00Z,Atlanta Braves @ Philadelphia Phillies,away,Martín Pérez,Philadelphia Phillies,9,measured,499.0,0.3248961642569739,0.322588860140108,-0.0023073041168658603,0.0288188312674794,0.288280971819939,0.322588860140108,0.31648295995589637,0.29473605236015765,-0.021746907595738718,0.2969203605936388,0.3026488398921689,-0.013834120063727473,0.263,0.26374156706507307,0.24306281010374378,0.2853749288445581,0.042312118740814336,0.393,0.42425099601593624,0.39457455019295345,0.4225580219320504,0.027983471739096932,38.0,39.65752988047809,39.03769624979639,38.60335727331828,-0.4343389764781094,88.0,89.32690571049137,88.86207568448091,88.46483002601045,-0.39724565847046733,7.6,13.111447543160688,14.015713927698764,6.695733615461924,-7.31998031223684,18.2,19.712483399734396,22.071654011928032,16.254658471960457,-5.816995539967575,10.0,8.583240371845948,8.918405753520775,9.624186888399295,0.7057811348785208,0.27736351312393215,4.9358087514363245,4.861742424242425,0.5582422582636529,0.4417577417363471,0.2847367881397542,-0.031746171816142144,8.0,1140.9607843137255,4.179144385026738,4.016363608599845,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T22:05:00Z
823419,2026-09-05,2026-09-05T22:05:00Z,Atlanta Braves @ Philadelphia Phillies,home,Zack Wheeler,Atlanta Braves,9,measured,524.0,0.3188710944563274,0.31856405594371123,-0.00030703851261615345,0.031833002633490134,0.2944931931249325,0.31856405594371123,0.31648295995589637,0.2965522263526601,-0.019930733603236273,0.2934043205057526,0.2953336583579301,-0.021149301597966297,0.207,0.24403505976095619,0.24306281010374378,0.20782799865169446,-0.03523481145204932,0.327,0.4122066401062417,0.39457455019295345,0.3416124310319197,-0.05296211916103377,35.1,40.053864541832674,39.03769624979639,36.01366833796345,-3.0240279118329383,86.8,89.44682602921647,88.86207568448091,87.38475034473555,-1.477325339745363,14.4,15.448366533864542,14.015713927698764,15.832652606165778,1.8169386784670145,29.4,20.995644090305444,22.071654011928032,27.96672763723969,5.895073625311657,7.8,8.132589641434263,8.918405753520775,7.112728547716608,-1.8056772058041668,0.29595575986241673,5.265699032593597,5.291666666666666,0.5732320204531578,0.4267679795468422,0.2981889990890317,-0.01829396086686469,8.0,1382.811320754717,4.012224938875305,4.212048601000586,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-06T07:01:30.443351+00:00,2026-09-05T22:05:00Z
